Confusion Matrix:
           0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79    80    81    82    83    84    85    86    87    88    89    90    91    92    93    94    95    96    97    98    99   100
    0:  3419  3267     0     0     0     0     0     0     0     0     0     0    91    10     0     0     0     0     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0    31     0     0     0     0     4     0     0     0     0     0     0    45     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   185     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    98     0     0     0     0     0     0     0     0   156     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    1:  1292  4283     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0   112     0     0     0     0     0     0     0     0     0     0     0     0     0    12     0     0     0     0   435     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     5     0     0     0     0     0     0     0     0     0     0    82     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    2:     0     0  1808     0     0     3     0     0     0     0     0     0     0     0   750     0    22    14     0     0     0     0     6    12     0    42     0    12     0     7     0    29   153    30    49     0     0     0   323     1     0     5     1     0     0     0     0     2     0     0    98     0     0     0    24    83   201    39    49     0     0     3     0    15     6     0    50     0     0   169     1     0     0     0    38    18   284     0   161     0   216     2   113     0     0   199     0    86    10   506     0   120    17     0     0     3   207     0   100    23     4
    3:     3    82     2  2630     0     0     0     0    56     0     0     0    44     1     0     4     0     0    70   384     2     0    34     0  1172     0     0     0     0     0     0     0     0    32     0     0     0     0     0     0    33     0     5    30     0     6     0     0     0    26     8     0     0     0   100     0     0   124     0     5     0     0     0     0     0     0     0     0     0     2     0    15    25    29     0     0    43    15     0     2     0     0     0     0     0     3   941     0    12    70     0     0     0     0     0     0   310     0     0     0     0
    4:     0     0     0     0  2199     0     0     0   125     0     0     0     0     0     0    30     0     0     8     0   203     0     0     0     0     4     0   318     0   289     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    23     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4     0     0     0     0     0     0     3   160     0     0     0     0     0     0     0     0   217     0     0     0     0     0
    5:     0     0     0     0    31  5982     0     0   267     0     0     0     3     0     0    11     0     0     0     0     0     0     0     0     0     0     0     0     0   251    19     0     0     1     0     0     0     0     7   249     0     0     6     0    13     0     1     0     0     0     4     0     4     0     0     0    40    33     0     0     0     0     0     0     0     0    24     0     0     0     0     0     0     0     1     0   318     0    10     1     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0    17     0     0     0     0     0
    6:     0     0   284     0     0     0  3316     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0    14     0     0     0     0    27     7     5     7     0    21     0     0     5     0     0     0     5    17     8     0     0     0     0     0     0     0     0    30     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   254     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    7:     0     0     0     0     0     0     0   648    15     0    10     0     0     0     0     0     0     0     0     0     0     0     0     0     0    30     0     0    14     0     0     0    25     0     0     0     0     2     0     0     0     0     0     0    10     0     0     0     0     0     2     0     0     0     0    54     0     0     0     0     0     0     0     0     0     0     0    19     0    96     0     0     0     0     1     0     0     0    76   283     0     0     0   668     0     2     0     0     0     0     0  1272     7    32     0    28   629     0     0     0     0
    8:     0     0     0     0     1     3     0     0  2119     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     8     0     0     0     0     0     0     0     0     0     1     0     0     0     0
    9:     0     0     0     0     0     0     0     0    60  3056     0     0     0     0     3     9   450    12     0     0   220     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1419     0     0     0     0    36    31     0     2     0     0     0     0     0     0     0     0     0    10     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     1     0     0
